"Identificação da publicação","Identificação da Página","Nome da Página",Título,Descrição,"Duração (segundos)","Horário de publicação","Tipo de legenda","Link permanente","É publicação cruzada","Tipo de publicação",Idiomas,"Rótulos personalizados","Status do conteúdo financiado",Comentário,Data,"Visualizações de 3 segundos do vídeo","Usuários engajados","Feedbacks negativos gerais","Feedbacks negativos únicos dos usuários",Engajamentos,"Visualizações por país (Brazil (BR))","Visualizações por país (Portugal (PT))","Visualizações por país (Chile (CL))","Visualizações por país (Mozambique (MZ))","Visualizações por público principal (F)","Visualizações por público principal (M)","Visualizações por público principal (65+)","Visualizações por público principal (55-64)","Visualizações por público principal (45-54)","Visualizações por público principal (35-44)","Visualizações por público principal (25-34)","Visualizações por público principal (18-24)","Visualizações por público principal (13-17)","Visualizações por público principal (65+, M)","Visualizações por público principal (65+, F)","Visualizações por público principal (55-64, M)","Visualizações por público principal (55-64, F)","Visualizações por público principal (45-54, M)","Visualizações por público principal (45-54, F)","Visualizações por público principal (35-44, M)","Visualizações por público principal (35-44, F)","Visualizações por público principal (25-34, M)","Visualizações por público principal (25-34, F)","Visualizações por público principal (18-24, M)","Visualizações por público principal (18-24, F)","Visualizações por público principal (13-17, M)","Visualizações por público principal (13-17, F)"
499582228854313,437204840068250,"Cristiano Automóveis",,"Essa vai pra você meu amigo da cidade, que está buscando uma picape, confortável, completa e muito tecnológica.

🚘 FIAT TORO
1.8 16V EVO FLEX FREEDOM AT6
📆 2016/2017
——————————
IPVA pago
Licenciado
——————————
Mais informações:
126.000 km
Ar-condicionado
Travas elétricas
Vidros elétricos
Alarme
Freio ABS
Air bag do motorista
Rodas de liga leve
Desembaçador traseiro
Air bag duplo
Retrovisores elétricos
Sensor de estacionamento
Computador de bordo
Controle automático de velocidade
Controle de tração
Retrovisor fotocrômico
Farol de neblina
GPS
Direção Elétrica
Controle de estabilidade
Distribuição eletrônica de frenagem
Kit Multimídia
Santo Antônio

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text…

📍 Av. Rua Castro Alves, 180, Lorena | SP

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/01/2022 12:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid035rAQFvcoGdjHURUKbVG9Nb8nHu55jpZjibiXnV4d9xu4nWH7Sm5zyypmkwJFzgTQl,0,Foto,,,,,Vitalício,0,749,0,0,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,
499627582183111,437204840068250,"Cristiano Automóveis",,"Mais uma picape de opção disponível:
🚘 Fiat Strada
1.8 Adventure cabine dupla dualogic
📅 2011/2012
——————————
IPVA pago
——————————
Mais informações:
Completa
Ar-Condicionado
Direção Hidráulica
Flex
Cambio dualogic
Rodas de liga leve
Farol de neblina
Placa Mercosul

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text…

📍 Av. Rua Castro Alves, 180, Lorena | SP

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/01/2022 14:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0233mXVnE6DbSMJk1FrqfNYiHTMvjbKicYnSAa1ELCKD18jVMwVmZCqsFWj4QgS7edl,0,Foto,,,,,Vitalício,0,134,0,0,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
500138625465340,437204840068250,"Cristiano Automóveis",,"📌Aproveite o feriado e saia com sua caminhonete dos sonhos!
🚘 Toyota Hilux
2.8 SRX 4×4 Diesel
📅 2016/2016
——————————
IPVA pago
——————————
Mais informações:
157.000 km
Ar-condicionado
Direção Hidráulica
Vidro elétrico
Multimídia
Freios ABS
Banco em couro
Start-stop
Repetidores de seta no retrovisor
Faróis de neblina
Capota marítima
Controle de tração e estabilidade
Volante multifuncional
Câmbio automático de 6 marchas
Ajuste elétrico dos bancos
Rodas de liga leve diamantadas

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text…

📍 Av. Rua Castro Alves, 180, Lorena | SP

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/02/2022 07:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0bhugtqcHT2i4AuoDoGsJuaDAtavqEVw5CBEMz1FjVkHbTVzsZThUFqTn4f2MxULZl,0,Foto,,,,,Vitalício,0,1775,0,0,2422,,,,,,,,,,,,,,,,,,,,,,,,,,,
500326628779873,437204840068250,"Cristiano Automóveis",,"📌Procurando uma Duster Oroch?! 
🚘Renault Duster
Oroch Dynamique 2.0 Automática Flex
📆2018/2019
_________________________________
IPVA 2022 PAGO
_________________________________
Direção eletro-hidráulica
Câmbio automático
Ar-Condicionado
Trava Elétrica
Vidros Elétricos
Volante Multifuncional
Volante com regulagem de altura
Bancos em couro
Banco com ajuste de altura
Freios ABS
Faróis de neblina
Alarme
Desembaçador traseiro
Rack de teto
Roda de liga leve
Faróis de neblina
Sensores de estacionamento
Multimídia original
Retrovisores elétricos

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text...

📍 Av. Rua Castro Alves, 180, Lorena | SP

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/02/2022 12:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0UR3k7Lv2eDqe85VKEoknprFWnfF1JyahURi4BRmH14ZF4EM25pQYktrvcmcP3jsHl,0,Foto,,,,,Vitalício,0,1360,0,0,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,
500383162107553,437204840068250,"Cristiano Automóveis",,"📌Continuando a variedade de caminhonete disponível para você!
🚘 Toyota Hilux
3.0 STD 4×4 Diesel
📅 2014/2015
——————————
IPVA pago
——————————
Mais informações:
Direção Hidráulica
Câmbio manual
Ar-condicionado
Vidro elétrico
Multimídia
Freios ABS
Banco em couro
Airbag
Ajuste elétrico do banco
Volante multifuncional
Rodas de liga leve
Faróis de neblina
Capota marítima

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text…

📍 Av. Rua Castro Alves, 180, Lorena | SP
#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/02/2022 14:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0wxFF4bZ3tRa1JiKpD9mgbbbHYvwdPqqLYnBWmu85PStvd6omj8mvEjVdpx3M1pyHl,0,Foto,,,,,Vitalício,0,923,0,0,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,
500871508725385,437204840068250,"Cristiano Automóveis",,"📌Para quem é fã de hatch estiloso, se liga: 
🚘HYUNDAI I30
1.8 MPI GASOLINA
📆2014/2015
——————————
IPVA 2022 PAGO
——————————
Mais informações:
85.000 km
Direção Elétrica
Câmbio automático
Ar-condicionado
Vidro elétrico
Faróis de neblina
Volante Multifuncional
Rádio original
Bancos em couro
Sensor de estacionamento
Setas nos retrovisores
Rodas de liga leve diamantadas
Multimídia
GPS
Retrovisores rebatíveis eletricamente
Bancos e volante com ajuste de altura
Câmera de ré

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text...

📍Av. Rua Castro Alves, 180, Lorena | SP

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/03/2022 07:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid02rPCdpeWSVwWJPfucB8wZJz57tFjT2brSekzfTYhMXPUduzoMHDbC5jmSDXnqyYRnl,0,Foto,,,,,Vitalício,0,1220,0,0,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,
501102878702248,437204840068250,"Cristiano Automóveis",,"📌Ainda buscando a oportunidade de adquirir o primeiro carro?! Então corre para cá!
🚘Ford Fiesta
Class 1.6 Flex
📆2012/2013
_________________________________
IPVA 2022 PAGO
__________________________________
Direção Hidráulica
Câmbio manual
Ar-Condicionado
Trava Elétrica
Vidros Elétricos
Volante com regulagem de altura
Banco e volante com ajuste de altura
Freios ABS
Faróis de neblina
Alarme
Desembaçador e limpador traseiro

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text…

📍 Av. Rua Castro Alves, 180, Lorena | SP

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/03/2022 12:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0fMLhSSR4cYU1MY41gobiJ3o8sENwfstJRyuosVTFmuxUDCp4pZowWEtXt7vn21Qwl,0,Foto,,,,,Vitalício,0,828,0,0,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,
501150875364115,437204840068250,"Cristiano Automóveis",,"💡Momento Curiosidade💡
Você sabia que em 2021, a Fiat Strada pela primeira vez em sua história liderou ranking de mais vendido no Brasil?! Pois acredite, é verdade! 
""Com 109.107 emplacamentos registrados, a Fiat Strada se tornou o 1º veículo comercial a comandar as vendas anuais em nosso país, reforçada pela liderança geral conquistada nos meses de março, abril, junho e agosto."" (Apud motor1.uol.com.br, por Thiago Parísio).",0,"11/03/2022 14:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0aEciMnoQEZ6Nu3W46RZzbBiUjnAirJi6LTrGaeMix6Y2ctC5RPbb4tG4jftXyHvXl,0,Foto,,,,,Vitalício,0,9,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
501730838639452,437204840068250,"Cristiano Automóveis",,"🚘 Fiat Uno
1.0 Vivace Flex
📅 2014/2014
——————————
IPVA 2022 PAGO
——————————
Mais informações:
Direção Mecânica
Câmbio Manual
Básico
2 portas
Desembaçador traseiro
Revisado
Pneus novos
 
🚘Pegamos seu usado na troca
💳Parcelamos no cartão até 18x
🏦Financiamos em até 60x

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP: 
https://api.whatsapp.com/send/?phone=551231523625&text…

📍 Av. Rua Castro Alves, 180, Lorena | SP 

#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/04/2022 07:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0iPAjkjYDHhY2pmvPRnSqieK8FXCuUPmxXkUvfwM4rMCsKnM93ggE8LSAehuL4Ys2l,0,Foto,,,,,Vitalício,0,1028,0,0,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,
501911208621415,437204840068250,"Cristiano Automóveis",,"📌SEXTOU e hoje é dia de novidade aqui na CRISTIANO AUTOMÓVEIS, se liga: 
🚘Chevrolet Cruze
LTZ 1.8 Flex
📆2013/2013
——————————
IPVA 2022 PAGO
——————————
Mais informações:
106.000 km
Direção Elétrica
Câmbio automático
Ar-condicionado
Vidro elétrico
Airbag 
Freios ABS
Alarme 
Volante Multifuncional
Multimídia
GPS
Bancos em couro em tom caramelo 
Bancos e volante com ajuste de altura
Porta copos 
Sensor de estacionamento
Câmera de ré 
Rodas de liga leve 
Faróis de neblina

🚘Pegamos seu usado na troca 
💳Parcelamos no cartão até 18x 
🏦Financiamos em até 60x 

>>>>>CLIQUE AQUI E CHAMA NO WHATSAPP:
https://api.whatsapp.com/send/?phone=551231523625&text...
📍Av. Rua Castro Alves, 180, Lorena | SP
#CristianoAutomóveis #seminovoscomgarantia #valedoparaiba #lorena #guaratingueta #carrosseminovos #carrosavenda #qualidadegarantida #lojafisica",0,"11/04/2022 12:11",N/A,https://www.facebook.com/cristianoautomoveisoficial/posts/pfbid0YZdxRpbXqmn4UADajUjKuhWHLt8DzuMxgPqxhB3JTpTQMqRMLGbCR4nadzyUdgxfl,0,Foto,,,,,Vitalício,0,83,0,0,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
